Brand,Year,Gender,Seller_Type,Transmission,Owner,Mileage,Engine_CC,Power_bhp,Price
BMW,2008,Male,Individual,Manual,First Owner,17.16,1465,90.2,355524
Maruti,2015,Male,Trustmark Dealer,Automatic,Third Owner,14.13,2193,46,527027
Maruti,2001,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,19.56,3388,84,384436
Ford,2000,Female,Dealer,Automatic,First Owner,22.3,2824,55.3,916538
Ford,2007,Male,Dealer,Automatic,Second Owner,14.73,3327,59.8,624491
Honda,2018,Male,Individual,Manual,Third Owner,23.13,3060,104.5,299108
Audi,2010,Female,Dealer,Automatic,Second Owner,18.45,1729,94.9,852239
Maruti,2011,Female,Trustmark Dealer,Automatic,First Owner,18.96,,104.7,312520
BMW,2011,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,11.2,1013,81.1,130776
Toyota,2006,Female,Individual,Manual,Fourth & Above Owner,10.77,1103,109.8,599087
BMW,2012,Female,Individual,Automatic,First Owner,18.58,,79.7,1172179
Hyundai,2007,Male,Dealer,Manual,Second Owner,21.16,999,117.9,51701
Hyundai,2021,Female,Individual,Manual,Fourth & Above Owner,15.31,3085,,200704
Ford,2008,Female,Individual,Automatic,Third Owner,24.68,1470,84.8,825758
Honda,2006,Male,Individual,Manual,Second Owner,20.94,2528,,407304
Hyundai,2020,Female,Trustmark Dealer,Automatic,Second Owner,14.37,2049,89.6,783585
Maruti,2014,Male,Dealer,Automatic,Third Owner,18.12,,129.9,348753
BMW,2001,Male,Trustmark Dealer,Automatic,First Owner,27.91,1050,96.1,642589
BMW,2022,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,13.03,3323,90,1123342
Ford,2019,Male,Individual,Automatic,Second Owner,20.11,1297,84,241623
Audi,2011,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,16.71,2787,111.1,907128
Audi,2000,Female,Dealer,Automatic,Fourth & Above Owner,20.83,1777,107.7,803912
Toyota,2022,Female,Dealer,Manual,Second Owner,23.07,,83.2,153227
Ford,2021,Female,Dealer,Manual,First Owner,16.46,3276,,767670
Toyota,2007,Male,Trustmark Dealer,Automatic,Second Owner,22.48,1338,67.5,621842
Audi,2004,Female,Trustmark Dealer,Automatic,First Owner,,1700,85.4,627328
Ford,2014,Male,Trustmark Dealer,Manual,Third Owner,18.27,2266,123.7,700955
Ford,2000,Male,Dealer,Automatic,First Owner,21.14,1009,83.7,494890
Ford,2000,Male,Dealer,Manual,First Owner,15.64,2533,75.1,621030
Audi,2009,Female,Dealer,Manual,Second Owner,18.08,1290,46,672436
Toyota,2021,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,17.29,3318,127.8,823817
Toyota,2009,Male,Dealer,Automatic,Fourth & Above Owner,21.19,2509,104.2,141852
Ford,2020,Female,Dealer,Manual,First Owner,22.82,2553,109.9,987266
Hyundai,2014,Female,Individual,Manual,First Owner,17.56,3415,114,253413
Honda,2016,Male,Trustmark Dealer,Automatic,Second Owner,,2718,85.9,828489
Audi,2021,Female,Trustmark Dealer,Automatic,First Owner,24.12,2834,92.1,623834
Honda,2005,Male,Dealer,Manual,Second Owner,21.39,2729,,215653
Honda,2002,Female,Individual,Manual,Third Owner,15.94,2286,94.5,758444
Toyota,2012,Female,Individual,Manual,First Owner,15.55,3397,,316378
Toyota,2015,Female,Dealer,Automatic,Third Owner,14.75,2803,111.8,920639
Hyundai,2007,Male,Individual,Automatic,First Owner,21.8,2300,,386750
Honda,2014,Male,Dealer,Automatic,First Owner,13.15,997,86.8,151504
Honda,2016,Female,Trustmark Dealer,Manual,Third Owner,20.71,2767,89.2,1060154
Ford,2016,Female,Individual,Manual,Third Owner,13.68,1320,109.4,654397
Toyota,2021,Male,Individual,Automatic,Second Owner,21.29,2322,109.4,860157
Honda,2012,Male,Individual,Manual,Second Owner,18.07,2334,119.2,344558
BMW,2016,Female,Dealer,Manual,Third Owner,,2513,103.8,32457
Hyundai,2005,Male,Trustmark Dealer,Manual,First Owner,22.57,2148,104.9,1102561
BMW,2016,Male,Individual,Manual,Second Owner,23.74,1487,78.8,598072
BMW,2015,Female,Trustmark Dealer,Manual,First Owner,23.84,1266,75.5,747406
Audi,2013,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,18.57,1395,109.5,796979
Audi,2012,Female,Individual,Automatic,Second Owner,13.36,938,75.6,499383
Hyundai,2005,Female,Trustmark Dealer,Automatic,Second Owner,13.79,1814,89.5,667869
BMW,2002,Male,Dealer,Automatic,Second Owner,9.65,1041,124.5,1078186
Honda,2013,Male,Dealer,Automatic,Fourth & Above Owner,13.67,3163,120.5,590268
Toyota,2013,Male,Dealer,Manual,Third Owner,18.28,1532,97.5,882630
Hyundai,2014,Female,Trustmark Dealer,Manual,First Owner,15.76,934,82.6,2626
Ford,2007,Female,Dealer,Manual,Fourth & Above Owner,17.28,,86.9,937128
BMW,2014,Male,Individual,Automatic,Third Owner,19.97,3286,111.7,143399
Hyundai,2021,Female,Trustmark Dealer,Manual,Second Owner,16.78,2924,89.1,902823
Maruti,2012,Female,Dealer,Manual,Third Owner,13.51,3247,76,717189
Maruti,2016,Female,Dealer,Manual,Third Owner,17.79,3221,120.4,571224
Audi,2020,Female,Dealer,Automatic,Third Owner,14.41,2310,94.5,570124
Toyota,2002,Female,Dealer,Manual,First Owner,16.92,2618,75.6,524181
Honda,2005,Female,Individual,Manual,Third Owner,,1557,102,353799
Toyota,2004,Male,Dealer,Automatic,Third Owner,16.92,,114.3,538207
Toyota,2021,Female,Individual,Automatic,Third Owner,25.08,1006,64.8,1262418
Toyota,2016,Female,Trustmark Dealer,Manual,Third Owner,23.73,3188,85,990692
Toyota,2022,Female,Individual,Automatic,Fourth & Above Owner,,2443,83.8,338699
Ford,2001,Male,Dealer,Manual,Fourth & Above Owner,13.56,1110,101.3,680306
Ford,2014,Female,Dealer,Automatic,Third Owner,17.79,2131,105.8,628794
Audi,2004,Female,Trustmark Dealer,Manual,Third Owner,22.61,3472,76.2,557312
Hyundai,2019,Male,Individual,Manual,Third Owner,16.04,2199,,299167
Maruti,2005,Female,Dealer,Automatic,Second Owner,21.63,2350,115.8,733769
Toyota,2005,Male,Individual,Automatic,Third Owner,22.83,882,62,853821
Audi,2017,Male,Dealer,Automatic,Third Owner,14.9,2400,96.8,349830
Hyundai,2017,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,,2275,86.7,1186662
Maruti,2003,Male,Individual,Manual,Fourth & Above Owner,,1826,94.1,1056601
BMW,2016,Male,Dealer,Automatic,Fourth & Above Owner,18.61,2279,131.3,764450
Honda,2013,Male,Trustmark Dealer,Manual,First Owner,15.26,3083,166,230484
Ford,2013,Female,Dealer,Manual,Second Owner,16.59,3236,49.2,720423
BMW,2012,Female,Dealer,Manual,Third Owner,17.72,3240,114.6,684593
Maruti,2006,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,11.74,2464,86.1,753947
BMW,2011,Male,Individual,Manual,First Owner,21.06,2582,116.2,1077139
Honda,2022,Female,Individual,Manual,Third Owner,16.09,2877,113.9,547208
Audi,2014,Female,Trustmark Dealer,Automatic,Third Owner,6.87,2406,125.2,1214348
Maruti,2018,Male,Trustmark Dealer,Manual,Fourth & Above Owner,17.9,1781,97.1,721951
BMW,2010,Male,Trustmark Dealer,Manual,Third Owner,15.03,1404,67.8,512861
Ford,2014,Female,Trustmark Dealer,Manual,Third Owner,24.76,3130,113.2,1319813
Ford,2011,Female,Individual,Automatic,Third Owner,15.66,1037,92.9,848968
Hyundai,2002,Female,Trustmark Dealer,Manual,Fourth & Above Owner,13.61,1530,84.2,463580
BMW,2016,Female,Trustmark Dealer,Manual,First Owner,20.03,2142,78.1,625265
Toyota,2002,Female,Individual,Manual,Third Owner,15.36,2794,115.2,790570
BMW,2018,Female,Dealer,Automatic,First Owner,14.88,2160,130.1,554742
Audi,2019,Male,Dealer,Automatic,Third Owner,20.04,2878,60.1,640172
Maruti,2003,Female,Individual,Automatic,Fourth & Above Owner,13.84,1777,105.5,354839
Maruti,2002,Male,Individual,Manual,First Owner,12.17,1714,80.7,94442
Audi,2015,Male,Individual,Manual,Fourth & Above Owner,24.9,2437,53.3,631926
BMW,2011,Male,Individual,Manual,Second Owner,20.32,2428,93.7,642008
Audi,2007,Female,Trustmark Dealer,Manual,Third Owner,16.94,3054,69.2,758136
Honda,2016,Female,Trustmark Dealer,Manual,Second Owner,17.99,2781,50.6,427143
Audi,2006,Female,Individual,Automatic,Second Owner,20.02,1382,70.5,197834
Ford,2010,Male,Dealer,Manual,Second Owner,21.89,1259,64.3,310403
Audi,2017,Male,Dealer,Manual,Third Owner,14.98,935,73.8,916690
Maruti,2000,Female,Individual,Automatic,Fourth & Above Owner,19.46,2776,56.9,400017
Ford,2002,Female,Individual,Automatic,Second Owner,15.97,1777,80.1,467376
Maruti,2003,Male,Dealer,Manual,First Owner,17.24,1083,72.2,506276
Hyundai,2012,Male,Dealer,Automatic,Third Owner,18.64,3198,99.4,414217
Toyota,2005,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,17.97,816,104.8,392037
Maruti,2013,Male,Dealer,Automatic,Fourth & Above Owner,20.94,2038,96.5,338663
Ford,2004,Male,Dealer,Manual,Second Owner,19.95,,84.1,1020197
Hyundai,2015,Male,Dealer,Automatic,Third Owner,11.97,3261,83.4,804030
Maruti,2014,Female,Dealer,Manual,Second Owner,12.57,2067,69.1,974346
Honda,2014,Female,Trustmark Dealer,Automatic,First Owner,16.52,2853,69.7,1034802
Audi,2003,Male,Trustmark Dealer,Manual,Fourth & Above Owner,25.31,1579,107.6,-104964
Toyota,2007,Female,Trustmark Dealer,Manual,Fourth & Above Owner,14.59,2934,46,703036
Maruti,2015,Male,Dealer,Manual,Third Owner,17.17,3036,88,424146
Hyundai,2015,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,15.85,2439,81.9,935043
Honda,2003,Male,Individual,Automatic,Third Owner,15.78,1219,105,377559
BMW,2012,Male,Trustmark Dealer,Automatic,Second Owner,18.71,2626,54.4,283755
Hyundai,2012,Female,Dealer,Manual,First Owner,23.6,3095,90.3,169786
Audi,2001,Male,Dealer,Automatic,Third Owner,19.82,1659,98.6,509198
Hyundai,2002,Male,Individual,Automatic,Second Owner,14.79,1006,42.4,874484
Honda,2021,Male,Trustmark Dealer,Manual,First Owner,29.01,3271,63.1,676850
Hyundai,2007,Female,Individual,Automatic,Fourth & Above Owner,18.31,3396,87.7,239206
Honda,2014,Female,Dealer,Manual,First Owner,15.69,3334,102.9,1245798
Maruti,2010,Female,Trustmark Dealer,Automatic,First Owner,23.65,2980,94.6,794862
Honda,2008,Female,Trustmark Dealer,Manual,First Owner,16.12,2840,104,833223
Honda,2006,Male,Trustmark Dealer,Manual,Fourth & Above Owner,24.65,914,63,985509
Toyota,2012,Female,Individual,Automatic,Third Owner,14.52,3224,50.3,107935
Honda,2001,Male,Dealer,Manual,Third Owner,23.72,1010,92.1,326570
Honda,2007,Male,Trustmark Dealer,Automatic,First Owner,18.8,931,59.3,846903
BMW,2006,Male,Individual,Automatic,Second Owner,23.16,2197,68.4,356779
Maruti,2011,Male,Individual,Automatic,Second Owner,25.61,953,113.3,517496
Audi,2018,Male,Trustmark Dealer,Automatic,First Owner,13.47,1719,94.7,576678
Toyota,2006,Female,Individual,Manual,First Owner,23.1,2246,75.8,216778
BMW,2009,Female,Dealer,Manual,Second Owner,12.36,1751,72.5,491755
Ford,2015,Female,Trustmark Dealer,Manual,First Owner,13.81,2189,,874351
Maruti,2002,Female,Individual,Automatic,First Owner,,2517,95.3,818836
Maruti,2009,Male,Individual,Automatic,Third Owner,20.01,946,59.6,933904
Ford,2005,Female,Trustmark Dealer,Manual,Third Owner,18.13,2617,41.3,902963
Audi,2017,Female,Individual,Manual,First Owner,17.33,1514,137,721762
Honda,2017,Male,Dealer,Automatic,First Owner,18.58,2396,59.4,698004
BMW,2004,Female,Individual,Automatic,Fourth & Above Owner,20.37,3078,103.2,675999
Hyundai,2020,Female,Dealer,Automatic,Third Owner,20.67,3298,127.8,411886
Toyota,2006,Female,Trustmark Dealer,Manual,First Owner,22.38,2323,93.7,291017
Hyundai,2001,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,25.28,1706,75,393121
Ford,2010,Female,Individual,Manual,Fourth & Above Owner,17.91,2446,54.3,502191
Maruti,2012,Male,Dealer,Automatic,Fourth & Above Owner,15.92,2524,54,403252
Audi,2022,Female,Individual,Manual,Fourth & Above Owner,20.45,2830,99.4,724150
Maruti,2004,Male,Dealer,Automatic,Third Owner,13.42,2954,126.3,660569
Toyota,2005,Male,Trustmark Dealer,Manual,Fourth & Above Owner,15.29,2940,80.1,692797
Maruti,2013,Female,Trustmark Dealer,Manual,Third Owner,22,2459,76.1,705422
Maruti,2011,Male,Trustmark Dealer,Manual,Fourth & Above Owner,17.5,1628,107.4,958699
Toyota,2003,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,13.17,2987,72.9,597428
BMW,2022,Male,Dealer,Manual,Second Owner,12.04,2137,96.9,902511
BMW,2005,Female,Dealer,Manual,Third Owner,18.19,810,91,754976
Toyota,2009,Male,Individual,Automatic,Second Owner,22.57,3295,79.8,938890
Audi,2017,Female,Individual,Manual,Second Owner,22.51,3242,89.6,1084389
Ford,2014,Male,Individual,Manual,Fourth & Above Owner,18.44,2328,134.1,772995
Maruti,2007,Female,Individual,Automatic,Third Owner,26.04,1177,105.1,631130
Audi,2008,Male,Individual,Manual,First Owner,17.58,1160,117.3,629192
Maruti,2004,Male,Individual,Automatic,Fourth & Above Owner,17.45,2371,67,458950
Ford,2009,Female,Trustmark Dealer,Manual,Third Owner,7.73,1441,117.4,448868
BMW,2019,Female,Dealer,Automatic,Second Owner,16.21,1372,106,870635
Audi,2005,Male,Individual,Manual,Third Owner,21.41,2755,52.5,310899
Honda,2015,Female,Dealer,Manual,Fourth & Above Owner,24.26,2384,103.5,1084432
Honda,2002,Male,Trustmark Dealer,Manual,Third Owner,14.68,1722,77.2,554483
Honda,2009,Female,Dealer,Automatic,Second Owner,19.85,3243,51.4,4375869
BMW,2010,Female,Trustmark Dealer,Manual,Third Owner,22.19,3033,93.2,392065
BMW,2010,Female,Dealer,Manual,Third Owner,18.04,2341,103.5,675057
Ford,2016,Male,Trustmark Dealer,Automatic,Second Owner,8.87,2614,,494445
Maruti,2003,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,18.99,3218,87.3,362075
Ford,2003,Female,Trustmark Dealer,Automatic,First Owner,21.05,2689,81.7,919140
Ford,2016,Male,Trustmark Dealer,Manual,Second Owner,14.21,2699,151.7,268334
BMW,2008,Female,Individual,Manual,Second Owner,16.98,2027,60.4,397178
Honda,2018,Female,Individual,Manual,Fourth & Above Owner,13.38,3455,111.8,775896
Hyundai,2004,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,7.72,3129,90.4,823488
Maruti,2021,Female,Dealer,Automatic,Third Owner,22.11,2239,68.6,182434
BMW,2005,Female,Dealer,Manual,Second Owner,17.99,1856,88.8,774503
Honda,2002,Male,Individual,Manual,Third Owner,,2929,55.2,638670
Audi,2021,Female,Dealer,Automatic,Third Owner,21.43,2306,75.1,324683
Hyundai,2000,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,16.58,2995,88.8,363336
Hyundai,2019,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,17.67,2430,51.2,-10035
BMW,2021,Male,Dealer,Manual,Third Owner,20.26,1764,102.7,1115233
Toyota,2015,Male,Individual,Automatic,Second Owner,,1791,65.9,904626
Maruti,2022,Male,Individual,Automatic,Second Owner,19.29,1294,53.7,213256
Hyundai,2010,Female,Dealer,Automatic,Third Owner,22.42,1993,63,839672
BMW,2012,Female,Individual,Automatic,First Owner,16.81,1502,,427793
BMW,2009,Male,Dealer,Manual,First Owner,,1830,40.5,874443
Honda,2002,Female,Dealer,Automatic,Fourth & Above Owner,17.74,2203,100.9,451178
Audi,2008,Female,Individual,Manual,Second Owner,18.82,1625,71.2,490994
Toyota,2011,Female,Dealer,Manual,Third Owner,13.19,3281,81.2,513496
Maruti,2022,Female,Individual,Automatic,Third Owner,12.65,1857,105.1,402793
Ford,2013,Female,Trustmark Dealer,Automatic,Second Owner,19.79,1362,103.9,1019781
Audi,2000,Female,Trustmark Dealer,Manual,Fourth & Above Owner,16.37,2985,73,869558
Audi,2017,Female,Individual,Automatic,Fourth & Above Owner,17.34,1166,56.1,632985
Honda,2016,Female,Dealer,Manual,First Owner,16.56,2953,105.6,907370
Hyundai,2008,Male,Trustmark Dealer,Automatic,Second Owner,24.08,1593,103.8,111878
Hyundai,2008,Female,Dealer,Manual,Second Owner,23.05,1435,82.9,231462
Honda,2022,Male,Trustmark Dealer,Manual,Third Owner,,2505,101,742366
BMW,2009,Female,Individual,Manual,Second Owner,15.87,1786,78.9,820661
Hyundai,2018,Male,Dealer,Automatic,First Owner,21.4,1757,69.3,683822
Toyota,2014,Male,Individual,Manual,Second Owner,20.41,1654,90.1,35192
Maruti,2004,Male,Dealer,Manual,Third Owner,17.83,2925,103,281300
Audi,2014,Male,Trustmark Dealer,Automatic,First Owner,13.45,2369,,724978
Audi,2019,Female,Individual,Automatic,Third Owner,15.27,3056,102.7,1327942
Toyota,2022,Female,Trustmark Dealer,Manual,Second Owner,15.93,2234,71,965374
Hyundai,2001,Female,Dealer,Manual,Fourth & Above Owner,19.11,807,129.5,1073191
Audi,2012,Male,Dealer,Automatic,Second Owner,24.81,1536,81.4,701918
Ford,2015,Male,Individual,Manual,Second Owner,15.25,3074,87,699747
Maruti,2014,Female,Trustmark Dealer,Automatic,Third Owner,13.9,3022,57,289954
Maruti,2009,Male,Individual,Automatic,Fourth & Above Owner,17.57,880,85.2,885547
Audi,2013,Female,Trustmark Dealer,Automatic,Second Owner,22.13,1958,103.3,578045
Honda,2009,Male,Trustmark Dealer,Manual,First Owner,12.21,1037,109.1,807820
Audi,2013,Male,Dealer,Automatic,First Owner,23.81,2295,129,609206
Honda,2022,Male,Dealer,Manual,Third Owner,17.31,1849,103,683736
Audi,2008,Male,Individual,Manual,Third Owner,15.06,986,96.9,573682
Ford,2013,Male,Dealer,Automatic,Fourth & Above Owner,11.6,2705,78.8,667387
BMW,2002,Female,Dealer,Automatic,Third Owner,20.83,1429,73.5,900023
Maruti,2019,Male,Individual,Automatic,Fourth & Above Owner,17.32,2532,114.3,220131
Audi,2015,Male,Individual,Automatic,Second Owner,18.68,1614,,152123
Ford,2001,Male,Individual,Manual,First Owner,14.4,1413,63.1,727759
Honda,2009,Female,Trustmark Dealer,Manual,First Owner,16.72,1986,108.1,1032172
Honda,2002,Female,Trustmark Dealer,Automatic,First Owner,16.05,3025,,1107823
Maruti,2010,Female,Trustmark Dealer,Manual,Third Owner,17.6,,62.2,232677
Toyota,2010,Male,Individual,Automatic,Third Owner,15.32,3127,103.5,479138
Audi,2020,Female,Dealer,Manual,Second Owner,11.86,1597,63.8,156235
Hyundai,2020,Male,Trustmark Dealer,Manual,Third Owner,28.91,1877,29.3,434817
Honda,2021,Male,Dealer,Manual,Fourth & Above Owner,,866,86,936854
BMW,2012,Male,Trustmark Dealer,Automatic,First Owner,18.73,1343,96.4,596132
BMW,2006,Male,Dealer,Manual,Second Owner,10.91,2586,87.1,487838
Honda,2022,Female,Trustmark Dealer,Manual,Fourth & Above Owner,10.01,1319,161.7,763526
Toyota,2016,Male,Dealer,Manual,Fourth & Above Owner,18.39,3346,99.5,361484
Toyota,2001,Male,Trustmark Dealer,Manual,Third Owner,18.7,1745,93.7,1077894
Ford,2011,Female,Trustmark Dealer,Automatic,Third Owner,23.05,2254,100.7,602185
BMW,2009,Male,Trustmark Dealer,Manual,First Owner,19.6,1858,79,479462
Ford,2017,Male,Individual,Automatic,Second Owner,17.4,3036,113.2,776055
BMW,2021,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,14.2,1912,,881786
Audi,2010,Male,Dealer,Manual,Third Owner,24,1746,97.9,1078793
Audi,2015,Female,Dealer,Manual,Third Owner,21.72,935,74.4,537009
Hyundai,2016,Male,Trustmark Dealer,Automatic,Second Owner,13.01,3393,50.9,925817
Audi,2018,Male,Dealer,Automatic,Second Owner,18.15,1592,77.5,630363
Hyundai,2017,Female,Trustmark Dealer,Automatic,Third Owner,18.58,1936,97.1,416586
Audi,2002,Male,Dealer,Manual,Third Owner,16.62,2162,78.9,366957
Maruti,2020,Female,Trustmark Dealer,Manual,First Owner,21.09,1354,97.3,270905
Audi,2015,Male,Trustmark Dealer,Automatic,Second Owner,21.33,1745,84.2,377492
Ford,2005,Male,Dealer,Automatic,Fourth & Above Owner,,3372,100.8,934712
Honda,2011,Female,Trustmark Dealer,Automatic,Third Owner,16.88,3021,65.6,812013
Ford,2010,Female,Dealer,Manual,Third Owner,24,3484,94.8,227637
Honda,2014,Female,Trustmark Dealer,Manual,Third Owner,21.73,3054,74,76083
Toyota,2014,Female,Dealer,Automatic,Third Owner,18.29,2166,51.5,266312
Ford,2015,Female,Individual,Manual,First Owner,11.48,1748,85.9,366979
Toyota,2009,Male,Trustmark Dealer,Automatic,Second Owner,19.38,903,128.4,509020
Hyundai,2011,Male,Trustmark Dealer,Manual,Third Owner,20.79,1846,53.5,951859
Hyundai,2012,Male,Trustmark Dealer,Automatic,Second Owner,6.98,2660,93,435685
Maruti,2003,Female,Individual,Manual,Fourth & Above Owner,19.01,3137,109.9,1104150
Audi,2006,Male,Trustmark Dealer,Manual,Fourth & Above Owner,16.33,3414,147.5,95940
Ford,2021,Male,Individual,Manual,Fourth & Above Owner,17.12,1763,77.7,495410
Toyota,2001,Female,Individual,Manual,Fourth & Above Owner,,1637,74.2,835665
Honda,2014,Male,Individual,Manual,Second Owner,17.41,3258,60.8,854162
Hyundai,2007,Male,Dealer,Manual,Fourth & Above Owner,23.57,2382,118.5,499286
Audi,2006,Male,Dealer,Manual,Fourth & Above Owner,16.21,1681,68.3,900526
Hyundai,2014,Female,Trustmark Dealer,Automatic,Third Owner,21.86,1223,80.7,843659
Honda,2022,Female,Individual,Automatic,Third Owner,14.77,3002,,395366
Audi,2013,Male,Trustmark Dealer,Automatic,Third Owner,21.04,2998,112.1,694479
Audi,2007,Female,Dealer,Manual,First Owner,18.01,1011,119,811084
Toyota,2011,Male,Trustmark Dealer,Manual,Third Owner,19.41,2015,111.1,416840
Toyota,2012,Female,Individual,Manual,Fourth & Above Owner,18.03,1680,49.9,1108298
Ford,2010,Female,Individual,Automatic,Second Owner,20.57,1554,105.2,349391
Ford,2016,Male,Individual,Automatic,Fourth & Above Owner,7.73,1921,48.2,643228
BMW,2016,Male,Individual,Automatic,Second Owner,12.32,3388,91.5,225067
BMW,2003,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,19.67,1500,95.1,631008
Maruti,2020,Female,Individual,Automatic,First Owner,9.83,3019,97.8,279878
Hyundai,2007,Male,Dealer,Automatic,Third Owner,15.88,1170,103.4,511761
Ford,2004,Male,Individual,Manual,Fourth & Above Owner,17.78,2532,89.8,124021
Toyota,2015,Male,Dealer,Automatic,Third Owner,14.69,1963,40.9,839944
Honda,2003,Female,Trustmark Dealer,Manual,First Owner,15.23,,103.4,706884
Toyota,2021,Male,Trustmark Dealer,Automatic,First Owner,19.09,2628,92.4,926223
Hyundai,2014,Female,Trustmark Dealer,Automatic,Third Owner,22.04,1601,67.4,495658
BMW,2011,Female,Trustmark Dealer,Manual,Third Owner,14.17,3103,50.8,940154
Toyota,2004,Male,Dealer,Manual,Second Owner,15.7,1789,128.5,611784
Maruti,2022,Female,Dealer,Manual,Third Owner,15.07,1475,,633950
Hyundai,2015,Female,Individual,Automatic,Third Owner,8.31,1215,107.6,1234216
BMW,2013,Female,Individual,Automatic,Second Owner,18.57,3176,73.1,454597
Honda,2009,Male,Trustmark Dealer,Manual,Fourth & Above Owner,21.74,1962,27.1,968238
BMW,2006,Female,Trustmark Dealer,Automatic,Second Owner,22.07,1761,109.1,743905
Audi,2012,Male,Dealer,Manual,Fourth & Above Owner,14.52,2420,99.2,428429
Maruti,2019,Female,Dealer,Automatic,Fourth & Above Owner,12.99,2335,80.6,205293
Hyundai,2004,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,18.09,1048,118.1,290074
Honda,2002,Female,Trustmark Dealer,Automatic,Second Owner,21.32,2686,111.2,939202
Maruti,2014,Male,Dealer,Manual,Second Owner,18.62,3155,94.4,1120320
BMW,2003,Male,Dealer,Automatic,First Owner,19.16,1372,90.9,627432
Maruti,2014,Female,Dealer,Manual,Fourth & Above Owner,22.57,2608,91.3,643165
Hyundai,2013,Female,Trustmark Dealer,Manual,Second Owner,15.04,1597,107,832936
Ford,2019,Female,Dealer,Manual,First Owner,17.12,1800,68.6,621991
Maruti,2018,Female,Dealer,Manual,Fourth & Above Owner,24.54,1560,100.6,929910
Audi,2012,Male,Individual,Manual,Second Owner,17.21,1092,67,687487
Maruti,2009,Female,Dealer,Manual,Second Owner,12.93,3257,123.4,640662
BMW,2020,Female,Individual,Manual,Second Owner,15.32,997,103.3,390236
BMW,2004,Male,Individual,Manual,Third Owner,14.25,879,72.8,316420
Honda,2022,Female,Trustmark Dealer,Manual,First Owner,19.43,2208,92,-347726
BMW,2019,Female,Trustmark Dealer,Automatic,Second Owner,14.42,936,68.7,970235
Toyota,2019,Male,Trustmark Dealer,Manual,Third Owner,19.08,1012,127.6,556018
Hyundai,2005,Female,Trustmark Dealer,Automatic,First Owner,15.06,2662,130.6,479881
Hyundai,2003,Female,Dealer,Manual,First Owner,9.51,1418,107.4,14488
Ford,2001,Male,Dealer,Automatic,Third Owner,,1759,128.9,407966
Ford,2021,Female,Dealer,Automatic,First Owner,18.59,3013,93.8,368494
Hyundai,2015,Female,Individual,Automatic,Third Owner,20.07,,109.1,361568
Audi,2017,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,15.31,,120.6,699851
Ford,2004,Male,Dealer,Automatic,Second Owner,14.88,3178,89.9,636675
Honda,2021,Male,Dealer,Automatic,Third Owner,19.61,2522,91.8,191611
BMW,2003,Female,Trustmark Dealer,Manual,First Owner,24.08,1961,113.3,210648
Hyundai,2012,Male,Individual,Manual,First Owner,,2689,106.2,210096
Ford,2018,Female,Individual,Manual,Fourth & Above Owner,19.7,2840,71.1,1143158
Hyundai,2022,Female,Trustmark Dealer,Manual,Fourth & Above Owner,16.71,,35.3,1047817
Toyota,2001,Male,Trustmark Dealer,Manual,Fourth & Above Owner,11.83,1899,85.6,344310
Maruti,2012,Male,Dealer,Manual,Fourth & Above Owner,21.87,3467,37.6,7022
BMW,2010,Male,Individual,Automatic,Fourth & Above Owner,21.63,2488,65.2,638413
Hyundai,2021,Male,Trustmark Dealer,Manual,Second Owner,20.84,836,68.1,614082
Maruti,2003,Female,Individual,Automatic,Third Owner,17.27,1644,75.8,695075
Ford,2021,Female,Individual,Automatic,Fourth & Above Owner,20.39,2481,110.5,822412
Maruti,2019,Female,Dealer,Automatic,Fourth & Above Owner,21.58,2443,115.9,735511
BMW,2019,Male,Dealer,Automatic,Second Owner,24.48,3133,102.7,265068
Hyundai,2014,Male,Trustmark Dealer,Automatic,Third Owner,21.95,2063,105.8,688212
Toyota,2003,Female,Individual,Automatic,Fourth & Above Owner,18.26,3067,106.4,856147
Audi,2008,Male,Dealer,Manual,Third Owner,12.77,2843,27.6,382799
Ford,2006,Female,Dealer,Automatic,Third Owner,18.62,1015,90.3,689987
Hyundai,2018,Male,Individual,Automatic,Second Owner,19.03,1480,45.1,434166
BMW,2018,Male,Individual,Manual,Second Owner,20.84,3140,102.7,1198851
Ford,2005,Male,Individual,Manual,Fourth & Above Owner,23.42,2612,37.7,201952
Honda,2005,Male,Individual,Manual,First Owner,17.62,2307,85.5,946785
